external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj
NA,ENSMUSG00000021745,-0.167944252,0.473710473,0.781757427,-0.627412304,0.007469102,0.703852929,0.322583953,0.169503663,0.748657683,-0.136884099,0.558782809,1
Cdk2ap1,ENSMUSG00000029394,0.760057581,0.029801784,0.204119885,0.361964024,0.30088372,0.982391778,0.268496673,0.442713311,0.917481908,-0.129596884,0.711113231,1
Abce1,ENSMUSG00000058355,0.193357354,0.384960172,0.71728032,0.310020172,0.16389936,0.962016865,0.07171865,0.747375027,0.977169699,0.188381468,0.397406553,1
Brd4,ENSMUSG00000024002,-0.084371154,0.635222029,0.87444802,-0.1821813,0.306072275,0.983462287,0.164793709,0.355080918,0.880021715,0.066983563,0.706137399,1
Fam168a,ENSMUSG00000029461,-0.085092008,0.7193336,0.909603703,-0.230653493,0.330555286,0.988173535,0.347138359,0.143233582,0.729857796,0.201576875,0.394447639,1
Faf1,ENSMUSG00000010517,0.855791791,0.004289773,0.071959038,0.236502973,0.430154593,1,0.479255983,0.109717864,0.683808999,-0.140032835,0.640422081,1
Prkcsh,ENSMUSG00000003402,-0.225383421,0.295026756,0.636933265,0.114156445,0.595578201,1,-0.301043188,0.162148548,0.74285108,0.038496678,0.857864766,1
Cpt1a,ENSMUSG00000024900,-0.573928877,0.114229508,0.405311017,0.300196175,0.408778798,1,-0.294819175,0.417364699,0.909327766,0.579305878,0.110768492,1
Rpl17,ENSMUSG00000062328,0.205292792,0.397569036,0.728461817,0.296477468,0.222127788,0.97006561,0.12125646,0.617459876,0.963426928,0.212441136,0.381457016,1
Bap1,ENSMUSG00000021901,0.427006631,0.077094184,0.334410476,0.118714836,0.623142772,1,0.168845218,0.48461455,0.929672814,-0.139446577,0.563727889,1
